,source_id,clean_tmass_psc_xsc_oid,Unnamed: 0,angDist,col0,Star,n_Star,RAJ2000_1,DEJ2000_1,H20,e_H20,EW_CO_,e_EW_CO_,SpType1,SpType2,Simbad,RA_deg,DEC_deg,RAJ2000_2,DEJ2000_2,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
18084556-1952549,4095043032311443968,223520282,1,0.049884,1,2,,18 08 45.56,-19 52 54.99,14.8,0.3,56.1,0.8,M2.5,---,Simbad,272.1898333333333,-19.881941666666663,272.189848,-19.881943,0.06,0.06,90,10.34,7.308,5.783,0.021,0.029,0.023,AAA,211,0,2451034.6738
18112728-1750141,4095910100302880128,231760474,3,0.01485,3,4,,18 11 27.29,-17 50 14.10,6.5,4.2,48.5,0.5,M0.5,M7,Simbad,272.8637083333333,-17.837249999999997,272.863704,-17.83725,0.07,0.06,0,8.459,6.041,4.903,0.027,0.029,0.017,AAA,111,0,2451300.7968
18114736-1929156,4094709502344702976,225120932,4,0.039723,4,5,,18 11 47.36,-19 29 15.68,3.3,0.6,53.3,2.3,M2,---,Simbad,272.9473333333333,-19.48768888888889,272.947345,-19.487688,0.07,0.06,0,9.437,6.639,5.294,0.023,0.034,0.02,AAA,211,0,2450962.6796
18131562-1801224,4095725073129236608,230996315,5,0.033095,5,6,,18 13 15.62,-18 01 22.48,6.6,3.0,51.1,0.3,M1,---,Simbad,273.3150833333333,-18.02291111111111,273.315093,-18.022911,0.07,0.06,0,8.174,6.08,5.066,0.024,0.031,0.023,AAA,111,0,2450962.691
18132341-1858186,4095504930289441664,227194052,6,0.042142,6,7,,18 13 23.42,-18 58 18.66,2.1,0.8,37.9,2.2,K4,M4.5,Simbad,273.34758333333326,-18.97185,273.347571,-18.971849,0.06,0.06,0,9.074,6.593,5.409,0.041,0.027,0.017,AAA,111,0,2450962.6917
18133671-2002131,4094245542781464832,222888948,7,0.017377,7,8,,18 13 36.72,-20 02 13.15,11.0,6.6,38.7,0.6,K4,M5,Simbad,273.403,-20.036986111111112,273.402995,-20.036985,0.06,0.06,90,7.24,5.538,4.752,0.024,0.036,0.018,AAA,111,0,2450962.6986
18134914-1846333,4095602821175926528,227979704,8,0.043175,8,9,,18 13 49.15,-18 46 33.37,2.9,3.7,47.0,0.7,M0,M7,Simbad,273.4547916666666,-18.77593611111111,273.454779,-18.775936,0.07,0.06,0,8.383,6.108,5.022,0.018,0.038,0.017,AAA,111,0,2450962.6996
18140682-1906204,4094748672447886848,226656102,9,0.021725,9,10,,18 14 06.83,-19 06 20.44,5.7,2.8,48.3,0.5,M0.5,M7,Simbad,273.52845833333333,-19.105677777777775,273.528452,-19.105677,0.07,0.06,0,7.972,5.863,4.934,0.026,0.024,0.026,AAA,111,0,2450962.7015
18144593-1737549,4097239478594986112,232550132,10,0.053764,10,11,,18 14 45.94,-17 37 54.96,2.6,0.4,50.2,0.6,M1,---,Simbad,273.69141666666667,-17.631933333333333,273.691401,-17.631933,0.06,0.06,0,9.827,6.841,5.317,0.024,0.076,0.02,AAA,211,0,2451300.8331
18145270-1732001,4097244563836316800,232924961,11,0.029753,11,12,,18 14 52.70,-17 32 00.19,9.4,1.5,48.3,0.4,M0.5,M7,Simbad,273.71958333333333,-17.533386111111113,273.719592,-17.533386,0.06,0.06,0,7.902,5.815,4.801,0.021,0.036,0.018,AAA,111,0,2451300.8341
18153237-1747220,4097221920768414976,231944815,13,0.020757,13,14,,18 15 32.37,-17 47 22.01,12.0,1.4,57.3,1.9,M3,---,Simbad,273.884875,-17.789447222222226,273.884881,-17.789448,0.06,0.06,90,8.524,6.117,4.917,0.023,0.047,0.023,AAA,111,0,2451300.843
18154112-1646457,4097496558149754752,235796438,15,0.034504,15,16,,18 15 41.13,-16 46 45.73,2.0,4.6,52.6,1.3,M1.5,---,Simbad,273.92137499999995,-16.779369444444445,273.921365,-16.779369,0.06,0.06,90,8.023,5.978,5.047,0.021,0.034,0.018,AAA,111,0,2451300.8422
18155832-1658278,4097480237267692288,235056214,16,0.017872,16,17,,18 15 58.32,-16 58 27.87,2.6,2.0,49.2,1.5,M0.5,M7,Simbad,273.993,-16.974408333333333,273.993005,-16.974407,0.06,0.06,90,9.21,6.576,5.342,0.037,0.034,0.02,AAA,111,0,2451300.8442
18165719-1622235,4097606818537012352,237328816,18,0.056451,18,19,,18 16 57.20,-16 22 23.59,4.1,8.4,56.6,0.9,M2.5,---,Simbad,274.2383333333333,-16.373219444444445,274.238317,-16.37322,0.06,0.06,90,9.361,6.516,5.179,0.026,0.057,0.023,AAA,211,0,2451300.8617
18171598-1405543,4146565459985471616,245782950,19,0.031465,19,20,,18 17 15.99,-14 05 54.35,1.2,4.4,47.6,0.4,M0.5,M7,Simbad,274.316625,-14.098430555555556,274.316616,-14.098431,0.06,0.06,90,7.416,5.586,4.718,0.029,0.053,0.016,AAA,111,0,2451300.8634
18172865-1637399,4097586168351882112,236368590,20,0.04853,20,21,,18 17 28.65,-16 37 39.96,1.3,3.5,44.9,0.6,K5.5,M7,Simbad,274.369375,-16.627766666666666,274.369389,-16.627768,0.06,0.06,90,8.577,6.268,5.192,0.023,0.033,0.026,AAA,111,0,2451300.8688
18174160-1356280,4146602259265301632,246352649,21,0.016305,21,22,,18 17 41.60,-13 56 28.05,0.4,2.5,46.5,1.5,M0,M7,Simbad,274.42333333333335,-13.941125,274.423338,-13.941125,0.06,0.06,90,7.785,5.708,4.722,0.027,0.049,0.016,AAA,111,0,2451300.8669
18175212-1715085,4097268027233024768,233996186,22,0.006084,22,23,,18 17 52.12,-17 15 08.51,1.6,0.5,54.3,0.7,M2,---,Simbad,274.4671666666666,-17.25236388888889,274.467168,-17.252365,0.06,0.06,90,10.441,7.331,5.712,0.023,0.055,0.024,AAA,211,0,2451300.8707
18181255-1629132,4097612281754072320,236899016,23,0.035691,23,24,,18 18 12.56,-16 29 13.26,-4.3,7.9,52.8,1.8,M1.5,---,Simbad,274.5523333333333,-16.48701666666667,274.552323,-16.487017,0.06,0.06,90,8.157,6.0,5.013,0.026,0.049,0.016,AAA,111,0,2451300.8713
18184660-1634566,4097421413399236224,236540131,25,0.046115,25,26,,18 18 46.60,-16 34 56.69,0.2,2.5,57.2,0.7,M3,---,Simbad,274.6941666666666,-16.58241388888889,274.69418,-16.582413,0.06,0.06,90,9.183,6.416,5.066,0.029,0.042,0.021,AAA,111,0,2451300.881
18191137-1531099,4098106134272809728,240537411,26,0.048577,26,27,,18 19 11.37,-15 31 09.96,12.0,10.4,58.9,4.8,M3.5,---,Simbad,274.797375,-15.519433333333334,274.797389,-15.519433,0.06,0.06,90,8.636,6.313,5.223,0.026,0.033,0.017,AAA,111,0,2451300.8817
18192723-1707592,4097321907596585216,234451054,27,0.010805,27,28,,18 19 27.24,-17 07 59.29,8.3,6.4,35.3,1.4,K3,M3.5,Simbad,274.8635,-17.13313611111111,274.863497,-17.133137,0.06,0.06,90,7.336,5.484,4.649,0.026,0.023,0.018,AAA,111,0,2451300.8886
