,angDist,col0,Star,n_Star,RAJ2000_1,DEJ2000_1,H20,e_H20,EW_CO_,e_EW_CO_,SpType1,SpType2,Simbad,RA_deg,DEC_deg,2MASS,RAJ2000_2,DEJ2000_2,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
0,0.021692,0,1,,18 08 28.19,-18 03 07.48,8.8,3.0,47.4,1.4,M0.5,M7,Simbad,272.1174583333333,-18.05207777777778,18082818-1803074,272.117452,-18.052078,0.07,0.06,0,8.352,6.118,4.997,0.018,0.026,0.018,AAA,111,0,2451034.6752
1,0.049884,1,2,,18 08 45.56,-19 52 54.99,14.8,0.3,56.1,0.8,M2.5,---,Simbad,272.1898333333333,-19.881941666666666,18084556-1952549,272.189848,-19.881943,0.06,0.06,90,10.34,7.308,5.783,0.021,0.029,0.023,AAA,211,0,2451034.6738
2,0.031643,2,3,,18 09 17.11,-19 39 58.81,10.2,1.1,54.6,1.5,M2,---,Simbad,272.32129166666664,-19.66633611111111,18091711-1939588,272.321301,-19.666336,0.06,0.06,0,10.652,7.258,5.543,0.021,0.051,0.029,AAA,211,0,2451366.5735
3,0.01485,3,4,,18 11 27.29,-17 50 14.10,6.5,4.2,48.5,0.5,M0.5,M7,Simbad,272.8637083333333,-17.837249999999997,18112728-1750141,272.863704,-17.83725,0.07,0.06,0,8.459,6.041,4.903,0.027,0.029,0.017,AAA,111,0,2451300.7968
4,0.039723,4,5,,18 11 47.36,-19 29 15.68,3.3,0.6,53.3,2.3,M2,---,Simbad,272.9473333333333,-19.48768888888889,18114736-1929156,272.947345,-19.487688,0.07,0.06,0,9.437,6.639,5.294,0.023,0.034,0.02,AAA,211,0,2450962.6796
5,0.033095,5,6,,18 13 15.62,-18 01 22.48,6.6,3.0,51.1,0.3,M1,---,Simbad,273.3150833333333,-18.02291111111111,18131562-1801224,273.315093,-18.022911,0.07,0.06,0,8.174,6.08,5.066,0.024,0.031,0.023,AAA,111,0,2450962.691
6,0.042142,6,7,,18 13 23.42,-18 58 18.66,2.1,0.8,37.9,2.2,K4,M4.5,Simbad,273.34758333333326,-18.97185,18132341-1858186,273.347571,-18.971849,0.06,0.06,0,9.074,6.593,5.409,0.041,0.027,0.017,AAA,111,0,2450962.6917
7,0.017377,7,8,,18 13 36.72,-20 02 13.15,11.0,6.6,38.7,0.6,K4,M5,Simbad,273.40299999999996,-20.036986111111112,18133671-2002131,273.402995,-20.036985,0.06,0.06,90,7.24,5.538,4.752,0.024,0.036,0.018,AAA,111,0,2450962.6986
8,0.043175,8,9,,18 13 49.15,-18 46 33.37,2.9,3.7,47.0,0.7,M0,M7,Simbad,273.4547916666666,-18.77593611111111,18134914-1846333,273.454779,-18.775936,0.07,0.06,0,8.383,6.108,5.022,0.018,0.038,0.017,AAA,111,0,2450962.6996
9,0.021725,9,10,,18 14 06.83,-19 06 20.44,5.7,2.8,48.3,0.5,M0.5,M7,Simbad,273.52845833333333,-19.105677777777778,18140682-1906204,273.528452,-19.105677,0.07,0.06,0,7.972,5.863,4.934,0.026,0.024,0.026,AAA,111,0,2450962.7015
10,0.053764,10,11,,18 14 45.94,-17 37 54.96,2.6,0.4,50.2,0.6,M1,---,Simbad,273.69141666666667,-17.631933333333333,18144593-1737549,273.691401,-17.631933,0.06,0.06,0,9.827,6.841,5.317,0.024,0.076,0.02,AAA,211,0,2451300.8331
11,0.029753,11,12,,18 14 52.70,-17 32 00.19,9.4,1.5,48.3,0.4,M0.5,M7,Simbad,273.71958333333333,-17.533386111111113,18145270-1732001,273.719592,-17.533386,0.06,0.06,0,7.902,5.815,4.801,0.021,0.036,0.018,AAA,111,0,2451300.8341
12,0.06169,12,13,,18 15 13.56,-18 03 40.54,10.0,1.1,50.3,0.7,M1,---,Simbad,273.80649999999997,-18.06126111111111,18151356-1803405,273.806518,-18.061262,0.07,0.06,173,11.549,7.982,6.226,0.024,0.023,0.024,AAA,211,0,2451323.7024
13,0.020757,13,14,,18 15 32.37,-17 47 22.01,12.0,1.4,57.3,1.9,M3,---,Simbad,273.88487499999997,-17.789447222222226,18153237-1747220,273.884881,-17.789448,0.06,0.06,90,8.524,6.117,4.917,0.023,0.047,0.023,AAA,111,0,2451300.843
14,0.053742,14,15,,18 15 33.76,-18 09 04.81,11.4,3.3,48.2,1.1,M0.5,M7,Simbad,273.8906666666667,-18.15133611111111,18153375-1809048,273.890651,-18.151335,0.07,0.06,0,12.655,8.7,6.617,0.022,0.019,0.023,AAA,221,0,2451323.7024
15,0.034504,15,16,,18 15 41.13,-16 46 45.73,2.0,4.6,52.6,1.3,M1.5,---,Simbad,273.92137499999995,-16.779369444444445,18154112-1646457,273.921365,-16.779369,0.06,0.06,90,8.023,5.978,5.047,0.021,0.034,0.018,AAA,111,0,2451300.8422
16,0.017872,16,17,,18 15 58.32,-16 58 27.87,2.6,2.0,49.2,1.5,M0.5,M7,Simbad,273.993,-16.974408333333333,18155832-1658278,273.993005,-16.974407,0.06,0.06,90,9.21,6.576,5.342,0.037,0.034,0.02,AAA,111,0,2451300.8442
17,0.027954,17,18,,18 15 59.61,-15 22 08.72,2.2,5.3,44.9,0.5,K5.5,M7,Simbad,273.99837499999995,-15.36908888888889,18155960-1522087,273.998367,-15.369088,0.06,0.06,90,7.084,5.37,4.578,0.027,0.044,0.015,AAA,111,0,2451300.8454
18,0.056451,18,19,,18 16 57.20,-16 22 23.59,4.1,8.4,56.6,0.9,M2.5,---,Simbad,274.2383333333333,-16.373219444444445,18165719-1622235,274.238317,-16.37322,0.06,0.06,90,9.361,6.516,5.179,0.026,0.057,0.023,AAA,211,0,2451300.8617
19,0.031465,19,20,,18 17 15.99,-14 05 54.35,1.2,4.4,47.6,0.4,M0.5,M7,Simbad,274.316625,-14.098430555555556,18171598-1405543,274.316616,-14.098431,0.06,0.06,90,7.416,5.586,4.718,0.029,0.053,0.016,AAA,111,0,2451300.8634
20,0.04853,20,21,,18 17 28.65,-16 37 39.96,1.3,3.5,44.9,0.6,K5.5,M7,Simbad,274.369375,-16.627766666666666,18172865-1637399,274.369389,-16.627768,0.06,0.06,90,8.577,6.268,5.192,0.023,0.033,0.026,AAA,111,0,2451300.8688
21,0.016305,21,22,,18 17 41.60,-13 56 28.05,0.4,2.5,46.5,1.5,M0,M7,Simbad,274.42333333333335,-13.941125,18174160-1356280,274.423338,-13.941125,0.06,0.06,90,7.785,5.708,4.722,0.027,0.049,0.016,AAA,111,0,2451300.8669
22,0.006084,22,23,,18 17 52.12,-17 15 08.51,1.6,0.5,54.3,0.7,M2,---,Simbad,274.4671666666666,-17.25236388888889,18175212-1715085,274.467168,-17.252365,0.06,0.06,90,10.441,7.331,5.712,0.023,0.055,0.024,AAA,211,0,2451300.8707
23,0.035691,23,24,,18 18 12.56,-16 29 13.26,-4.3,7.9,52.8,1.8,M1.5,---,Simbad,274.5523333333333,-16.48701666666667,18181255-1629132,274.552323,-16.487017,0.06,0.06,90,8.157,6.0,5.013,0.026,0.049,0.016,AAA,111,0,2451300.8713
24,0.011657,24,25,,18 18 44.53,-16 51 08.98,-1.2,1.9,46.8,0.9,M0,M7,Simbad,274.68554166666667,-16.852494444444446,18184453-1651089,274.685545,-16.852495,0.06,0.06,90,11.3,7.62,5.824,0.023,0.047,0.017,AAA,211,0,2451300.8787
